#LANGUAGES	KEY	EN	CH	JA	PT
preload_portraits	59	60
match_names	Seele	Bronya
speaker	Seele				
bg	009/003_1280x720				
portraits	59
emote	59	2			
msg	300049	Sis, I'm home! I've successfully completed the mission!	姐姐大人~我回来了哟！任务顺利完成！	お姉ちゃん～ただいま！無事、任務終了したよ！	Onee-chan Estou em casa! Você completou sua missão com sucesso!
portraits	59	60
emote	60	2
speaker	Bronya
msg	300050	Welcome home. Are you injured?	欢迎回家，没有受伤吧？	お帰りなさい。ケガはしていませんか？	bem vindo de volta. Você está ferida?
speaker	Seele				
msg	300051	You're too worried. I wouldn't get hurt in a mission like this.	姐姐大人真是爱操心呢，这种小任务我怎么可能会受伤嘛~	ブローニャお姉ちゃんは心配しすぎだよ。こんな任務でケガなんかしないよ～。	Bronya está muito preocupada. Não me machuquei nesta missão.
speaker	Bronya				
msg	300052	I meant, is the new family member you escorted home injured?	不，我的意思是护送的家人有受伤么？	いえ、護送した家族にケガはありませんでしたか？	Não. Alguma das famílias que você escoltou foi ferida?
speaker	Seele				
emote	59	4			
msg	300053	Ggghh...... I'm not hurt! God, you always tease me, sis! Here, this is the survivor's file~!	咕…没有受伤啦！真是的，姐姐大人总是欺负人！给，这是这次所有幸存者的资料~	ぐっ……ケガしてないよ！まったく、お姉ちゃんはいつもイジワルするんだから！ほら、これが今回の生存者の資料だよ～！	mm... não foram feridas! Em tudo, minha Onee-chan é sempre louca! Veja, aqui estão os dados sobre este sobrevivente~!
speaker	Bronya				
msg	300054	Thank you for the hard work, Seele.	好的，辛苦了希儿。	はい、お疲れ様。ゼーレ。	Sim, obrigada. Seele.
speaker	Seele				
emote	59	2			
msg	300055	Hehe!	嘿嘿~	エヘヘ～。	ehehe
speaker	Bronya				
emote	60	1			
msg	300056	...	……	……。	……
msg	300057	This person... The information is almost empty.	这个人是…资料几乎是空白的。	この人は……資料がほとんど空白ですね。	......... Essa pessoa... O documento está quase em branco.
speaker	Seele				
emote	59	1			
