--Common
Languages	en	es	pt	ja
ON	ON
OFF	OFF
WindowTitle	F.M. RepliCant

--DebugOverlay
Reload	Reload
Send NextScreen	Send NextScreen
Send PrevScreen	Send PrevScreen

--ChapterMenu
Main	Main
Sub	Sub
KeyboardInputHelp	Use the Page down and Page Up keys to select a chapter using the keyboard.
GamepadInputHelp	Use the L1 and R1 buttons to select a chapter.
GamepadInputHelp	{G PS5_L1} {G PS5_R1} Select Chapter     {G PS5_Dpad} Select Part     {G PS5_Cross} Confirm     {G PS5_Circle} Return

--ChapterParts
Music Test	Music Test	Hello! This is the translation engine!
#Chapter 0
Settle Down	Settle Down
Vague Hope	Vague Hope
Survive	Survive
Revive	Revive
--ChapterDescriptions
Settle Down	Check out the base.
Vague Hope	Seele will introduce you to the base.
Survive	Protect the #(Residence#) and #(Boundary#) bases.
Revive	Talk to Seele and Bronya

--Cutscene
PRESS START TO SKIP	PRESS START TO SKIP			スキップするにはスタートを押してください
TAP HERE TO SKIP	TAP HERE TO SKIP

--Options
Options Menu	Options Menu
continue	Continue	Continuar		続ける
skip	Skip to Next Cutscene
textSpeed	Text Speed		Velocidade do texto
autoRead	Auto Read		Ler automaticamente
skipMode	Text Skip Mode		Configuração de salto de texto
textOptions	Text Options
systemOptions	System Options	Opciones del sistema	Opções do sistema	システムオプション
reload	[Debug] Reload Cutscene
chapterSelect	Return to Chapter Select

AudioVolume	Music Volume	Volúmen de la Música	Volume da música
SFXVolume	SFX Volume	Volúmen de los Efectos	Volume do efeito sonoro
isFullscreen	Fullscreen	Pantalla Completa	Tela cheia
language	Current Language	idioma	Idioma atual
vibration	Vibration

bgOpacity	Textbox Opacity
textboxStyle	Textbox Appearance

--OptionDescriptions
continue	Resume reading.
skip	Skip to the next cutscene.
textSpeed	Adjust how fast the text displays.	Velocidad de las Cinemáticas
autoRead	Automatically display the next line after a delay. Press the 'auto' button on a mobile device, "B" on your controller, or "X" on the keyboard to start and stop Auto Read.
skipMode	Whether unread text should be skipped while holding Ctrl on the keyboard or "B" on the gamepad, or just previously read text.
textOptions	Adjust text speed and textbox appearance.
systemOptions	Adjust the volume, language, and other programwide options.
reload	Does what it says.
chapterSelect	Return to the chapter select.

AudioVolume	Adjust the volume of the music.
SFXVolume	Adjust the volume of the sound effects.
isFullscreen	Switch between fullscreen and windowed. You can also press F11 on the keyboard at any time.
language	Choose the novel's language. This change will not take effect until the next cutscene.
vibration	Vibrate the controller or phone during certain parts.

EnglishLocalized=Removes honorifics, changes most instances of Seele calling Bronya "onii-chan" to her calling Bronya by name, and removes Bronya's habit of referring to herself in third person. No other changes.
EnglishLiteral=Keeps honorifics (ex. Himeko-sensei, Mei-senpai) and uses a more direct translation, so Seele will continue to call Bronya "onii-chan" instead of by name. Bronya also talks in third person sometimes. Use this one if you prefer honorifics and/or you're worried about some meaning being lost in translation.

bgOpacity	Change the textbox background transparency. 0 = transparent, 100 = opaque.
textboxStyle	Change the look of the textbox to GGZ Fire Moth's blue box, or choose a slightly more modern looking appearance.

#There is probably no need for you to include this category in your translation
--Language
en	English
en_lt	English (Literal)
es	Español
kr	한국어
ja	日本語
zh	简化字
pt	português

--TextSpeed
10	10
20	20
30	30
40	40
50	50
60	60
70	70
80	80
90	90
100	Instant

--SkipModes
False	Skip read only
True	Skip all text

--CutsceneNames
Dandelion	Dandelion
Dier	Dier
UMP9	UMP9
UMP45	UMP45
Alchemist	Alchemist
Architect	Architect

--DictionaryTerms
Honkai	Honkai
The First Honkai Outbreak	The First Honkai Outbreak

--DictionaryDescriptions
Honkai	"Houkai" is a recurring natural disaster phenomenon that happens during regular self-adjustments of the universe. It may manifest in many different forms, ranging from plagues, diseases, and weather-related disasters to comets smashing into planets and obelisks turning up to annihilate all beings. Whenever a Houkai Outbreak occurs, the species currently at the top of the food chain would usually be hit devastatingly hard. The 14th-century Black Death plague and the dinosaur extinction in the Cretaceous Era, for example, were both very likely results Houkai Outbreaks.\n\nNote:"Honkai" is the English localized name of Houkai, which means "Collapse" in Japanese.
The First Honkai Outbreak	This is a grand-scale Houkai phenomenon caused by the accumulation of specific Houkai Energy types. Big Houkai Outbreaks affect a wider range than the average Houkai Outbreak, and bring about more serious destruction. Meanwhile, Houkai Beasts of a higher level than Zombies may also be spawned. What's more, with each Big Houkai Outbreak, a Herrscher will always be born.
'
The Second Houkai Outbreak	On December 25th, 2000, a large-scale Houkai Outbreak occurred in Pripyat, Siberia. That was when the second Herrscher, Sirin, was born. To combat the huge number of enemies that spawned during the large-scale Houkai Outbreak, the Shicksal deployed an enormous amount of armed forces, most of which were destroyed in their quest to defeat the Second Herrscher and suppress the Second Big Houkai Outbreak. Though the armed forces did succeed in their quest, the Pripyat area ended up a wasteland and was forever under quarantine.
The Third Houkai Outbreak	On March 28th, 2014, the Third Big Houkai Outbreak occurred with Senba Academy, Nagazora as its Source. The Third Herrscher, Raiden Mai, was thus born. The Third Big Houkai Outbreak destroyed Nagazora in its entirety, but the Third Herrscher wasn't able to successfully transform and was currently still at large.
'
Herrscher	Humans corrupted by Honkai Energy that gain incredible power and sometimes immortality. They are born in the center of a Honkai Outbreak and obey the Will of the Honkai, having an instinctive desire to destroy everything. Although not in this story, some of them can control their desires and even fight back against the Honkai.
#[Dictionary_The World]
Anti-Entropy	A somehwat villianous corporation that performed human experiments on orphans.
ME Corporation	Massive Electric Corp, or ME Corp for short, was the most prestigious technology company in the world. Run by generation after generation of Raiden family members, the company's main focus was the research and development of weapons, equipment and informational communications devices, and research into outer space. The former CEO, Raiden Ryoma, was arrested due to his 14-year-long embezzlement of company funds.
'
Nagazora	The former technology capital of the eastern region. Companies around the world would flock to Nagazora for investments and technology development. ME Corporation's headquarters were located in this city.
'
HOMU Paradise	A large theme park in the northern suburbs of Nagazora. It is around 8 square kilometers in range and had numerous amusement park rides while it was still functioning.

#[Dictionary_Characters]
Bronya Zaychik	The leader of the Fire Moths and Seele's non blood related sister. Grew up with Seele in Cocolia's orphanage.
Seele Vollerei	Bronya's non blood related sister. She seems to like Bronya a lot more than just as a sister, though. Grew up with Bronya in Cocolia's orphanage. Wields a huge scythe.
Emesa Ray	A tomboyish looking girl that's also the Fire Moth's field medic. Don't call her Emesa! Oh wait, everyone calls her that. (Despite looking like a tomboy, she doesn't like being mistaken for a guy. Though we don't see that in this story.)
'
Cocolia	Seele, Bronya, and Sin Mal's adoptive mother. Approved the human experiments on all three of them. Decesased.
Sin Mal	Seele and Bronya's deceased sister. It's a mystery how she died.
