#NAME	ORIGINAL_NAME	ORIGIN	DESCRIPTION	FILENAME

Train	Significance	Nier:Automata		Significance.mp3

Base Theme	Peaceful Sleep	Nier:Automata		Peaceful Sleep - No Vocals.mp3
White Area	Blissful Death	Nier:Automata		Blissful Death - No Vocals.mp3
Enemies Attack	Grandma (Destruction)	Nier:Automata		Grandma.mp3
City During Daytime	City Ruins	Nier:Automata		City Ruins - Medium.mp3

HOMU Paradise - Outside	Amusement Park (Quiet)	Nier:Automata		Amusement Park - Quiet.mp3
HOMU Paradise - Inside	Amusement Park (Medium)	Nier:Automata		Amusement Park - Medium.mp3
Meeting Mei	The Color of Depression	Nier:Automata		The Color of Depression.mp3
Taking A Bath in the Hot Springs	Yonah - Pluck Ver	Nier:RepliCant		Yonah - Pluck Ver.mp3

Planning Attack	War And War	Nier:Automata		War And War.mp3
M.E. Corporation 1	The Tower (Quiet)	Nier:Automata		The Tower - Quiet No Vocals.mp3
M.E. Corporation 2	The Tower (Medium)	Nier:Automata		The Tower - Medium No Vocals.mp3
Deeper in M.E. Corporation	The Tower (Dynamic)	Nier:Automata		The Tower - Dynamic No Vocals.mp3
M.E. Corporation Computer	The Tower (8-bit)	Nier:Automata		The Tower - 8bit.mp3
A Herrscher Attacks	The Dark Colossus Destroys All	Nier:RepliCant		The Dark Colossus Destroys All.mp3

#Atop The Earth	Blissful Death - No Vocals	Nier:RepliCant		Blissful Death - No Vocals.mp3
Kiana's Flashback	Dispossession - Music Box Version	Nier:RepliCant		Dispossession - Music Box Version.mp3
The Herrscher of Finality	The Sound of the End	Nier:Automata		The Sound of the End.ogg
Ending	FINAL FANTASY XIII-2 ~Negai~	FINAL FANTASY XIII-2 MAIN THEME		Negai.mp3
Credits	Weight of the World - No Vocals	Nier:Automata		Weight of the World.mp3
